"i","l","g","c","o"
"S-531952","49.8736526575676","14.1047619927971","Všeradice","Česká republika"
"S-531979","49.9180199030405","14.2080825930089","Zadní Třebaň","Česká republika"
"S-531057","49.9638244753903","14.0719992185939","Beroun","Česká republika"
"S-531669","49.9804937185552","13.9787644235418","Otročiněves","Česká republika"
"S-532223","50.1189975190982","14.0478257870156","Doksy","Česká republika"
"S-532860","50.1463057501041","13.9634566268455","Stochov","Česká republika"
"S-533955","49.9483867076828","15.2681607313357","Kutná Hora","Česká republika"
"S-534676","50.3504936535904","14.4741116720676","Mělník","Česká republika"
"S-534951","50.2410689533219","14.3114994871569","Kralupy nad Vltavou","Česká republika"
"S-535087","50.2592558220928","14.5175973468363","Neratovice","Česká republika"
"S-535443","50.5012080316806","14.8041808111155","Bělá pod Bezdězem","Česká republika"
"S-535451","50.2908491922681","14.8234310275629","Benátky nad Jizerou","Česká republika"
"S-536326","50.5272007037643","14.9713306716734","Mnichovo Hradiště","Česká republika"
"S-570826","50.4384953597391","14.9299950001663","Kosmonosy","Česká republika"
"S-570940","50.437291047213","14.9724725623042","Dolní Stakory","Česká republika"
"S-537276","50.192911119135","14.9994206643327","Kamenné Zboží","Česká republika"
"S-538094","50.1870882296086","14.6632574862223","Brandýs nad Labem-Stará Boleslav","Česká republika"
"S-538728","49.991674645647","14.6542686939105","Říčany","Česká republika"
"S-538957","50.0739413608499","14.730803786727","Úvaly","Česká republika"
"S-533416","49.9940332706139","14.8592159513673","Kostelec nad Černými Lesy","Česká republika"
"S-564788","49.9683538628932","14.877856679123","Prusice","Česká republika"
"S-539139","49.9600800393062","14.3197957385088","Černošice","Česká republika"
"S-539333","49.8954462070728","14.4933271695469","Jílové u Prahy","Česká republika"
"S-539813","50.160500280206","14.3144746527039","Velké Přílepy","Česká republika"
"S-531723","50.0350241101675","14.2343485516065","Rudná","Česká republika"
"S-539911","49.6898804760474","14.0104255301269","Příbram","Česká republika"
"S-540013","49.5576359610694","13.9506285448345","Březnice","Česká republika"
"S-540757","49.6319252874034","14.0459962743361","Milín","Česká republika"
"S-540439","49.6390212720944","14.2534411688502","Kamýk nad Vltavou","Česká republika"
"S-541281","49.6605744935336","14.4266357674455","Sedlčany","Česká republika"
"S-530573","49.5718320539061","14.5325933500857","Sedlec-Prčice","Česká republika"
"S-541656","50.1037018116185","13.7334054745823","Rakovník","Česká republika"
"S-545201","49.2234006907253","14.4205604514435","Týn nad Vltavou","Česká republika"
"S-544256","48.9744718635495","14.4743301977067","České Budějovice","Česká republika"
"S-544281","48.898602250089","14.6422556758036","Borovany","Česká republika"
"S-544663","48.8975332744737","14.4463714805158","Kamenný Újezd","Česká republika"
"S-544868","48.7896300759105","14.7783707621883","Nové Hrady","Česká republika"
"S-549371","49.3058727468711","14.3838140084454","Dražíč","Česká republika"
"S-545392","48.8109098422009","14.3151970638619","Český Krumlov","Česká republika"
"S-545848","48.6159788078523","14.3118113342599","Vyšší Brod","Česká republika"
"S-513661","48.9483160027703","14.2471522244387","Nová Ves","Česká republika"
"S-545881","49.1440466130074","15.002997825194","Jindřichův Hradec","Česká republika"
"S-546127","49.0815425433542","15.4372586832452","Dačice","Česká republika"
"S-546461","48.9623475034984","14.9279777099007","Chlum u Třeboně","Česká republika"
"S-546798","49.0192591281992","15.1031463752654","Nová Bystřice","Česká republika"
"S-546844","49.0810011353429","14.8221480389056","Novosedly nad Nežárkou","Česká republika"
"S-547069","48.8792116317271","14.9329003785503","Rapšach","Česká republika"
"S-547166","48.997532490826","15.351528865771","Slavonice","Česká republika"
"S-547280","48.8933322938696","14.8769439327942","Suchdol nad Lužnicí","Česká republika"
"S-547336","49.0036401102344","14.7706379268057","Třeboň","Česká republika"
"S-549517","49.5176033508916","14.2780912259871","Kovářov","Česká republika"
"S-549576","49.4508961007705","14.360000600561","Milevsko","Česká republika"
"S-549584","49.4290827474014","14.0369721677665","Mirotice","Česká republika"
"S-549240","49.308799940052","14.1474994256268","Písek","Česká republika"
"S-562301","49.3291236035589","14.1959855086414","Dolní Novosedly","Česká republika"
"S-550094","49.0129275846733","13.9975188581681","Prachatice","Česká republika"
"S-550361","48.9947952122307","14.1497973976555","Lhenice","Česká republika"
"S-550426","48.9835387584457","14.1250599566467","Mičovice","Česká republika"
"S-550515","49.1017955111964","13.6665909636939","Stachy","Česká republika"
"S-550647","49.0524364165038","13.774260596515","Vimperk","Česká republika"
"S-551384","49.1264088385027","13.8828274733837","Malenice","Česká republika"
"S-551660","49.3163473484329","13.9302392619937","Radomyšl","Česká republika"
"S-551953","49.147895458966","14.1751243115681","Vodňany","Česká republika"
"S-551970","49.1657827917382","13.8862365492934","Volyně","Česká republika"
"S-536962","49.1552267890247","13.8973497334119","Nišovice","Česká republika"
"S-550787","49.2614110267809","13.9023713392994","Strakonice","Česká republika"
"S-550850","49.4248899982033","13.8817597475584","Blatná","Česká republika"
"S-551139","49.1217856679233","14.1691083600611","Chelčice","Česká republika"
"S-553069","49.3851894888819","14.6847977728364","Sezimovo Ústí","Česká republika"
"S-553131","49.259937634824","14.7186063870387","Soběslav","Česká republika"
"S-552046","49.4144156113754","14.6577969196491","Tábor","Česká republika"
"S-552208","49.2428659699459","14.8447561726833","Dírná","Česká republika"
"S-553786","49.390764230991","13.0396917143206","Kdyně","Česká republika"
"S-554111","49.5102884992316","12.802623855317","Poběžovice","Česká republika"
"S-554138","49.458267606895","12.8067972497351","Postřekov","Česká republika"
"S-553425","49.4404879028343","12.9297762421549","Domažlice","Česká republika"
"S-553441","49.5911421375551","12.7176153862612","Bělá nad Radbuzou","Česká republika"
"S-553654","49.5936105979865","13.1013009962723","Holýšov","Česká republika"
"S-553689","49.5597031895864","12.7714779565683","Hostouň","Česká republika"
"S-555771","49.3955209326456","13.2950651488051","Klatovy","Česká republika"
"S-556254","49.3206896867973","13.7010053767579","Horažďovice","Česká republika"
"S-556394","49.3451465710477","13.2181455204197","Janovice nad Úhlavou","Česká republika"
"S-556955","49.3899293518633","13.4710671963025","Plánice","Česká republika"
"S-557013","49.2807429989949","13.6176156488085","Rabí","Česká republika"
"S-557544","49.2672293915211","13.6278503653074","Žichovice","Česká republika"
"S-557153","49.2310634247116","13.5201917307812","Sušice","Česká republika"
"S-554791","49.7474771238849","13.3775912290833","Plzeň","Česká republika"
"S-557587","49.5821979889957","13.5400954327486","Blovice","Česká republika"
"S-557676","49.6548249987816","13.293073263168","Dobřany","Česká republika"
"S-558109","49.4861646551459","13.5822585407496","Nepomuk","Česká republika"
"S-559628","49.8416735839422","13.2294333654974","Všeruby","Česká republika"
"S-559717","49.7426996231379","13.5945888285355","Rokycany","Česká republika"
"S-560014","49.7890475888593","13.7346159395858","Mýto","Česká republika"
"S-560162","49.7355199572456","13.7575500909768","Strašice","Česká republika"
"S-560715","49.7952750471033","12.6336503144596","Tachov","Česká republika"
"S-560740","49.9072433093644","12.9711053255195","Bezdružice","Česká republika"
"S-560758","49.7115908087096","12.775167268874","Bor","Česká republika"
"S-560863","49.8310163933595","12.5793892687707","Halže","Česká republika"
"S-560952","49.8811532553744","12.9778714112522","Konstantinovy Lázně","Česká republika"
"S-561134","49.8681544615763","12.7437808129061","Planá","Česká republika"
"S-561169","49.6681581706286","12.5518890540943","Rozvadov","Česká republika"
"S-561215","49.7529376451952","13.0040953348656","Stříbro","Česká republika"
"S-554812","50.170300434423","12.3614194645333","Skalná","Česká republika"
"S-554481","50.0796353859944","12.3739013921564","Cheb","Česká republika"
"S-554499","50.2238727387336","12.1949581708596","Aš","Česká republika"
"S-554618","50.1281615564807","12.2307941153406","Libá","Česká republika"
"S-554634","50.2524850998691","12.4059255888046","Luby","Česká republika"
"S-554642","49.9645870869627","12.701177222011","Mariánské Lázně","Česká republika"
"S-538868","50.0856815433526","12.2840883657266","Pomezí nad Ohří","Česká republika"
"S-538906","50.0557746181654","12.5475871899212","Milíkov","Česká republika"
"S-554961","50.221321928232","12.8860716604697","Karlovy Vary","Česká republika"
"S-555029","50.1509003612786","13.045169147758","Bochov","Česká republika"
"S-555398","50.2709220399264","12.784214263599","Nová Role","Česká republika"
"S-555428","50.3059301267702","12.9390697725827","Ostrov","Česká republika"
"S-560286","50.1813023410345","12.6400925848706","Sokolov","Česká republika"
"S-560294","50.1455761846394","12.6499511992759","Březová","Česká republika"
"S-560367","50.1386346615961","12.8075769644422","Horní Slavkov","Česká republika"
"S-560472","50.3237304311896","12.5174550918974","Kraslice","Česká republika"
"S-560499","50.1189279169713","12.5302564368861","Kynšperk nad Ohří","Česká republika"
"S-560537","50.1860052893794","12.7540412047574","Loket","Česká republika"
"S-562335","50.7821486590369","14.2147963004522","Děčín","Česká republika"
"S-562351","50.7415835561247","14.3123996264521","Benešov nad Ploučnicí","Česká republika"
"S-562882","50.9115406879917","14.6182352381341","Varnsdorf","Česká republika"
"S-562971","50.4604778461946","13.4178008068029","Chomutov","Česká republika"
"S-563099","50.4997951463412","13.4477066755198","Jirkov","Česká republika"
"S-563102","50.3759868498208","13.2713184940273","Kadaň","Česká republika"
"S-563129","50.3844566573176","13.171287602879","Klášterec nad Ohří","Česká republika"
"S-563242","50.4470513714624","13.2673183245755","Místo","Česká republika"
"S-564567","50.5334752263209","14.1318142956376","Litoměřice","Česká republika"
"S-565555","50.4252795074043","14.2617581656822","Roudnice nad Labem","Česká republika"
"S-565776","50.4580633929614","13.8992740874057","Třebívlice","Česká republika"
"S-565971","50.3569883748927","13.7966861219621","Louny","Česká republika"
"S-566713","50.3506068394291","13.9077178336375","Slavětín","Česká republika"
"S-566985","50.3271705043462","13.545784036728","Žatec","Česká republika"
"S-546879","50.3124878941987","13.7999298497717","Líšťany","Česká republika"
"S-542547","50.3469798738375","13.8526570743607","Blšany u Loun","Česká republika"
"S-567027","50.5030073626823","13.6361909366315","Most","Česká republika"
"S-567256","50.6006869822929","13.6111317957171","Litvínov","Česká republika"
"S-567311","50.6211534653156","13.598720700118","Meziboří","Česká republika"
"S-567329","50.5947407500165","13.482464246073","Nová Ves v Horách","Česká republika"
"S-567337","50.5049766124688","13.695414078202","Obrnice","Česká republika"
"S-567451","50.5485406232699","13.7753638861938","Bílina","Česká republika"
"S-567515","50.6037639567012","13.7462278233744","Duchcov","Česká republika"
"S-567523","50.6308134981913","13.7125982721591","Háj u Duchcova","Česká republika"
"S-567698","50.4804162113803","13.8179907578319","Měrunice","Česká republika"
"S-567779","50.6227095906405","13.6858758169559","Osek","Česká republika"
"S-568007","50.6731789640909","13.9418611933212","Chabařovice","Česká republika"
"S-553697","50.6428596280813","13.9945092786479","Trmice","Česká republika"
"S-561495","50.5647086150885","14.6555269036472","Doksy","Česká republika"
"S-561681","50.7735848082412","14.4728741391855","Kamenický Šenov","Česká republika"
"S-561835","50.6586843956218","14.7247357264992","Mimoň","Česká republika"
"S-561860","50.7576064776666","14.5555564759027","Nový Bor","Česká republika"
"S-563510","50.7243056737817","15.1710630653672","Jablonec nad Nisou","Česká republika"
"S-563790","50.6837875955477","15.149776934604","Rychnov u Jablonce nad Nisou","Česká republika"
"S-563811","50.738199039244","15.2463769116069","Smržovka","Česká republika"
"S-563820","50.7373527263849","15.3058354520317","Tanvald","Česká republika"
"S-564036","51.0190332759528","15.0651299025857","Habartice","Česká republika"
"S-564044","50.87719994156","15.1816542885422","Hejnice","Česká republika"
"S-564061","50.6658590763098","15.089840839022","Hodkovice nad Mohelkou","Česká republika"
"S-564117","50.8169231434873","14.9688251149266","Chrastava","Česká republika"
"S-564141","50.6101661581963","15.0043273067417","Kobyly","Česká republika"
"S-564265","50.9249113539652","15.2294029602479","Nové Město pod Smrkem","Česká republika"
"S-564290","50.6948853811128","14.9213688333436","Osečná","Česká republika"
"S-564354","50.5781280744603","15.0838893325607","Příšovice","Česká republika"
"S-546607","50.8926450543097","15.0365491213629","Dětřichov","Česká republika"
"S-547476","50.7241668094335","15.4009454394279","Paseky nad Jizerou","Česká republika"
"S-577006","50.6400695042982","15.3370837680984","Bozkov","Česká republika"
"S-577162","50.7034693153441","15.4295709384487","Jablonec nad Jizerou","Česká republika"
