"","Var1","Freq"
"1","Brno",14
"2","Praha",14
"3","Ostrava",10
"4","Bystré",9
"5","Hradec Králové",9
"6","Kutná Hora",9
"7","Znojmo",9
"8","Žamberk",9
"9","Frýdek-Místek",8
"10","Frýdlant nad Ostravicí",8
"11","Karlovy Vary",8
"12","Krnov",8
"13","Olomouc",8
"14","Prachatice",8
"15","Příbram",8
"16","Zlín",8
"17","Bílina",7
"18","Havířov",7
"19","Nepomuk",7
"20","Písek",7
"21","Plzeň",7
"22","Trutnov",7
"23","Český Krumlov",6
"24","Hodonín",6
"25","Nový Jičín",6
"26","Opava",6
"27","Pardubice",6
"28","Říčany",6
"29","Šumperk",6
"30","Tábor",6
"31","Blansko",5
"32","Bruntál",5
"33","Břeclav",5
"34","České Budějovice",5
"35","Holešov",5
"36","Kopřivnice",5
"37","Kroměříž",5
"38","Litoměřice",5
"39","Mariánské Lázně",5
"40","Přerov",5
"41","Smržovka",5
"42","Stříbro",5
"43","Svitavy",5
"44","Valašské Meziříčí",5
"45","Vsetín",5
"46","Aš",4
"47","Beroun",4
"48","Blatná",4
"49","Dobruška",4
"50","Hlučín",4
"51","Chomutov",4
"52","Ivančice",4
"53","Jablonec nad Nisou",4
"54","Jeseník",4
"55","Kamenický Šenov",4
"56","Klatovy",4
"57","Kralupy nad Vltavou",4
"58","Kyjov",4
"59","Lanškroun",4
"60","Litovel",4
"61","Louny",4
"62","Ludgeřovice",4
"63","Mělník",4
"64","Mikulovice",4
"65","Orlová",4
"66","Rakovník",4
"67","Rožnov pod Radhoštěm",4
"68","Slavkov u Brna",4
"69","Sušice",4
"70","Třeboň",4
"71","Uherské Hradiště",4
"72","Vodňany",4
"73","Vyškov",4
"74","Žatec",4
"75","Benátky nad Jizerou",3
"76","Bohumín",3
"77","Boskovice",3
"78","Brandýs nad Labem-Stará Boleslav",3
"79","Čermná nad Orlicí",3
"80","Černošice",3
"81","Černý Důl",3
"82","Česká Třebová",3
"83","Děčín",3
"84","Doksy",3
"85","Domažlice",3
"86","Horní Slavkov",3
"87","Horní Tošanovice",3
"88","Hořice",3
"89","Hranice",3
"90","Cheb",3
"91","Chrudim",3
"92","Jihlava",3
"93","Konstantinovy Lázně",3
"94","Kostelec nad Orlicí",3
"95","Lhotka",3
"96","Luhačovice",3
"97","Meziměstí",3
"98","Milevsko",3
"99","Mimoň",3
"100","Moravská Třebová",3
"101","Mýto",3
"102","Nové Město nad Metují",3
"103","Nové Město pod Smrkem",3
"104","Nový Bydžov",3
"105","Osečná",3
"106","Polička",3
"107","Prostějov",3
"108","Pustá Polom",3
"109","Rousínov",3
"110","Rýmařov",3
"111","Slavičín",3
"112","Strakonice",3
"113","Tanvald",3
"114","Tišnov",3
"115","Třebíč",3
"116","Uničov",3
"117","Varnsdorf",3
"118","Velké Meziříčí",3
"119","Velké Opatovice",3
"120","Veselí nad Moravou",3
"121","Vrchlabí",3
"122","Žďár nad Sázavou",3
"123","Židlochovice",3
"124","Bělá nad Radbuzou",2
"125","Bělá pod Bezdězem",2
"126","Bezdružice",2
"127","Bílovec",2
"128","Blovice",2
"129","Bor",2
"130","Borovany",2
"131","Buchlovice",2
"132","Bystřice nad Pernštejnem",2
"133","Bzenec",2
"134","Česká Skalice",2
"135","Český Těšín",2
"136","Dobřany",2
"137","Dolní Kounice",2
"138","Duchcov",2
"139","Dvůr Králové nad Labem",2
"140","Halže",2
"141","Holice",2
"142","Horní Maršov",2
"143","Hronov",2
"144","Hvozdná",2
"145","Chabařovice",2
"146","Chrastava",2
"147","Jablunkov",2
"148","Javorník",2
"149","Jemnice",2
"150","Jílové u Prahy",2
"151","Jindřichův Hradec",2
"152","Kadaň",2
"153","Kamenice nad Lipou",2
"154","Klášterec nad Ohří",2
"155","Kobyly",2
"156","Košařiska",2
"157","Kovářov",2
"158","Kravaře",2
"159","Kunovice",2
"160","Lánov",2
"161","Letohrad",2
"162","Lhenice",2
"163","Litomyšl",2
"164","Litvínov",2
"165","Měrunice",2
"166","Město Albrechtice",2
"167","Meziboří",2
"168","Milíkov",2
"169","Mnichovo Hradiště",2
"170","Most",2
"171","Mosty u Jablunkova",2
"172","Nové Hrady",2
"173","Nové Město na Moravě",2
"174","Novosedly nad Nežárkou",2
"175","Nový Bor",2
"176","Odry",2
"177","Osek",2
"178","Oslavany",2
"179","Ostrov",2
"180","Otrokovice",2
"181","Paseky nad Jizerou",2
"182","Pelhřimov",2
"183","Petřvald",2
