S-531952;49.8736526575676;14.1047619927971;Všeradice;Česká republika;F-3509;44.7522334;21.7919205;Gernik;Rumunsko;2009
S-531979;49.9180199030405;14.2080825930089;Zadní Třebaň;Česká republika;F-3541;50.7598671;7.85428239999999;Steineroth;Německo;2002
S-531057;49.9638244753903;14.0719992185939;Beroun;Česká republika;F-2177;50.8608509;17.4668311;Brzeg;Polsko;2002
S-531057;49.9638244753903;14.0719992185939;Beroun;Česká republika;F-2176;13.360614;-86.398154;Condega;Nikaragua;1992
S-531057;49.9638244753903;14.0719992185939;Beroun;Česká republika;F-2175;51.9083343;10.4465753;Goslar;Německo;1991
S-531057;49.9638244753903;14.0719992185939;Beroun;Česká republika;F-2174;52.0319447;4.3176885;Rijswijk;Nizozemsko;1991
S-531669;49.9804937185552;13.9787644235418;Otročiněves;Česká republika;F-3341;53.0166275;-6.3465015;Glendalough;Irsko;2005
S-532223;50.1189975190982;14.0478257870156;Doksy;Česká republika;F-3117;45.8956895;10.7178887;Comuni di Ledro;Itálie;2008
S-532860;50.1463057501041;13.9634566268455;Stochov;Česká republika;F-3427;46.61921;3.773899;Bourbon Lancy;Francie;0
S-532860;50.1463057501041;13.9634566268455;Stochov;Česká republika;F-3426;49.3543745;6.8057285;Saarwellingen;Německo;1989
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2536;5.958647;10.14751;Bamenda;Kamerun;1999
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2535;47.9031987;20.3731077;Eger;Maďarsko;2001
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2534;44.865102;10.061731;Fidenza;Itálie;2004
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2533;48.6833333;26.5833333;Kamenec Podolský;Ukrajina;2008
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2532;48.7051133;18.9159319;Kremnica;Slovensko;1995
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2531;49.258329;4.031696;Remeš;Francie;2008
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2530;55.442952;11.791372;Ringsted;Dánsko;1988
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2529;41.0534302;-73.5387341;Stamford Twinning Association;Velká Británie;2002
S-533955;49.9483867076828;15.2681607313357;Kutná Hora;Česká republika;F-2528;50.4359468;18.8460247;Tarnowskie Góry;Polsko;2003
S-534676;50.3504936535904;14.4741116720676;Mělník;Česká republika;F-2590;52.752674;13.2394519;Oranienburg;Německo;1970
S-534676;50.3504936535904;14.4741116720676;Mělník;Česká republika;F-2589;50.0587;22.49377;Przeworsk;Polsko;2008
S-534676;50.3504936535904;14.4741116720676;Mělník;Česká republika;F-2588;41.5227609;23.3927569;Sandanski - Melnik;Bulharsko;2011
S-534676;50.3504936535904;14.4741116720676;Mělník;Česká republika;F-2587;47.3263066;8.7997303;Wetzikon;Švýcarsko;1991
S-534951;50.2410689533219;14.3114994871569;Kralupy nad Vltavou;Česká republika;F-2506;42.48343;3.128874;Banyuls sur Mer;Francie;1993
S-534951;50.2410689533219;14.3114994871569;Kralupy nad Vltavou;Česká republika;F-2505;52.6320478;13.2011404;Henningsdorf;Německo;1970
S-534951;50.2410689533219;14.3114994871569;Kralupy nad Vltavou;Česká republika;F-2196;47.7625006;18.1305954;KOMÁRNO;Slovensko;1993
S-534951;50.2410689533219;14.3114994871569;Kralupy nad Vltavou;Česká republika;F-2504;44.75423;19.699751;Sabac;Srbsko;1998
S-535087;50.2592558220928;14.5175973468363;Neratovice;Česká republika;F-2631;51.1129963;13.9142216;Radeberg;Německo;0
S-535443;50.5012080316806;14.8041808111155;Bělá pod Bezdězem;Česká republika;F-2166;49.8004763;8.8237674;Gross Bieberau;Německo;1995
S-535443;50.5012080316806;14.8041808111155;Bělá pod Bezdězem;Česká republika;F-2165;48.2543374;17.2119074;Svätý Jur;Slovensko;2008
S-535451;50.2908491922681;14.8234310275629;Benátky nad Jizerou;Česká republika;F-2170;48.3343384;17.3069496;Modra;Slovensko;2001
S-535451;50.2908491922681;14.8234310275629;Benátky nad Jizerou;Česká republika;F-2169;51.2955584;11.5990541;Reinsdorf;Německo;1996
S-535451;50.2908491922681;14.8234310275629;Benátky nad Jizerou;Česká republika;F-2168;49.8594669;8.7524067;Rossdorf;Německo;2004
S-536326;50.5272007037643;14.9713306716734;Mnichovo Hradiště;Česká republika;F-2608;49.9522194;8.6389773;Erzhausen;Německo;1997
S-536326;50.5272007037643;14.9713306716734;Mnichovo Hradiště;Česká republika;F-2607;43.6561359;11.449096;Incisa in Val d´Arno;Itálie;2006
S-570826;50.4384953597391;14.9299950001663;Kosmonosy;Česká republika;F-3219;49.7707547;8.6448219;Seeheim-Jugenheim;Německo;1997
S-570940;50.437291047213;14.9724725623042;Dolní Stakory;Česká republika;F-3128;48.191062;17.3619336;Nová Dědina;Slovensko;2003
S-537276;50.192911119135;14.9994206643327;Kamenné Zboží;Česká republika;F-3200;53.6100865;8.6078866;Langen;Německo;1977
S-538094;50.1870882296086;14.6632574862223;Brandýs nad Labem-Stará Boleslav;Česká republika;F-2222;48.89091;26.849582;Dunajevec;Ukrajina;2010
S-538094;50.1870882296086;14.6632574862223;Brandýs nad Labem-Stará Boleslav;Česká republika;F-2221;47.5975105;19.3480017;Gödölló;Maďarsko;2009
S-538094;50.1870882296086;14.6632574862223;Brandýs nad Labem-Stará Boleslav;Česká republika;F-2220;43.327037;10.627037;Montescudaio;Itálie;2008
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2821;55.659616;12.357064;Albertslund;Dánsko;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2820;51.8482714;6.8594477;Borken;Německo;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2819;49.353976;0.075122;Daiville;Francie;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2818;53.2847817;11.5623567;Grabow;Německo;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2817;57.65;12.016667;Mölndal;Švédsko;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2816;51.361047;1.024256;Whitstable;Velká Británie;2000
S-538957;50.0739413608499;14.730803786727;Úvaly;Česká republika;F-2941;48.9925391;20.2426334;Spišské Bystré;Slovensko;2009
S-533416;49.9940332706139;14.8592159513673;Kostelec nad Černými Lesy;Česká republika;F-3556;47.196925;6.161428;Mamirolle;Francie;0
S-564788;49.9683538628932;14.877856679123;Prusice;Česká republika;F-3366;51.3704296;16.9606266;Prusice;Polsko;2011
S-539139;49.9600800393062;14.3197957385088;Černošice;Česká republika;F-2263;49.7811081;9.9861364;Gerbrunn;Německo;1995
