"obec1","stat1","obec2","stat2","rok"
"Všeradice","Česká republika","Gernik","Rumunsko",2009
"Zadní Třebaň","Česká republika","Steineroth","Německo",2002
"Beroun","Česká republika","Brzeg","Polsko",2002
"Beroun","Česká republika","Condega","Nikaragua",1992
"Beroun","Česká republika","Goslar","Německo",1991
"Beroun","Česká republika","Rijswijk","Nizozemsko",1991
"Otročiněves","Česká republika","Glendalough","Irsko",2005
"Doksy","Česká republika","Comuni di Ledro","Itálie",2008
"Stochov","Česká republika","Bourbon Lancy","Francie",0
"Stochov","Česká republika","Saarwellingen","Německo",1989
"Kutná Hora","Česká republika","Bamenda","Kamerun",1999
"Kutná Hora","Česká republika","Eger","Maďarsko",2001
"Kutná Hora","Česká republika","Fidenza","Itálie",2004
"Kutná Hora","Česká republika","Kamenec Podolský","Ukrajina",2008
"Kutná Hora","Česká republika","Kremnica","Slovensko",1995
"Kutná Hora","Česká republika","Remeš","Francie",2008
"Kutná Hora","Česká republika","Ringsted","Dánsko",1988
"Kutná Hora","Česká republika","Stamford Twinning Association","Velká Británie",2002
"Kutná Hora","Česká republika","Tarnowskie Góry","Polsko",2003
"Mělník","Česká republika","Oranienburg","Německo",1970
"Mělník","Česká republika","Przeworsk","Polsko",2008
"Mělník","Česká republika","Sandanski - Melnik","Bulharsko",2011
"Mělník","Česká republika","Wetzikon","Švýcarsko",1991
"Kralupy nad Vltavou","Česká republika","Banyuls sur Mer","Francie",1993
"Kralupy nad Vltavou","Česká republika","Henningsdorf","Německo",1970
"Kralupy nad Vltavou","Česká republika","KOMÁRNO","Slovensko",1993
"Kralupy nad Vltavou","Česká republika","Sabac","Srbsko",1998
"Neratovice","Česká republika","Radeberg","Německo",0
"Bělá pod Bezdězem","Česká republika","Gross Bieberau","Německo",1995
"Bělá pod Bezdězem","Česká republika","Svätý Jur","Slovensko",2008
"Benátky nad Jizerou","Česká republika","Modra","Slovensko",2001
"Benátky nad Jizerou","Česká republika","Reinsdorf","Německo",1996
"Benátky nad Jizerou","Česká republika","Rossdorf","Německo",2004
"Mnichovo Hradiště","Česká republika","Erzhausen","Německo",1997
"Mnichovo Hradiště","Česká republika","Incisa in Val d´Arno","Itálie",2006
"Kosmonosy","Česká republika","Seeheim-Jugenheim","Německo",1997
"Dolní Stakory","Česká republika","Nová Dědina","Slovensko",2003
"Kamenné Zboží","Česká republika","Langen","Německo",1977
"Brandýs nad Labem-Stará Boleslav","Česká republika","Dunajevec","Ukrajina",2010
"Brandýs nad Labem-Stará Boleslav","Česká republika","Gödölló","Maďarsko",2009
"Brandýs nad Labem-Stará Boleslav","Česká republika","Montescudaio","Itálie",2008
"Říčany","Česká republika","Albertslund","Dánsko",0
"Říčany","Česká republika","Borken","Německo",0
"Říčany","Česká republika","Daiville","Francie",0
"Říčany","Česká republika","Grabow","Německo",0
"Říčany","Česká republika","Mölndal","Švédsko",0
"Říčany","Česká republika","Whitstable","Velká Británie",2000
"Úvaly","Česká republika","Spišské Bystré","Slovensko",2009
"Kostelec nad Černými Lesy","Česká republika","Mamirolle","Francie",0
"Prusice","Česká republika","Prusice","Polsko",2011
"Černošice","Česká republika","Gerbrunn","Německo",1995
"Černošice","Česká republika","Lešnica","Polsko",1997
"Černošice","Česká republika","Olesnice- okres nikoli město","Polsko",2008
"Jílové u Prahy","Česká republika","Holzgerlingen","Německo",1996
"Jílové u Prahy","Česká republika","Peschici","Itálie",2001
"Velké Přílepy","Česká republika","Szydlow","Polsko",2002
"Velké Přílepy","Česká republika","Zlaté Moravce","Slovensko",2001
"Rudná","Česká republika","Rudna","Polsko",2008
"Příbram","Česká republika","Altötting","Německo",0
"Příbram","Česká republika","Anor","Francie",2005
"Příbram","Česká republika","Čechov","Rusko",1994
"Příbram","Česká republika","Freiberg","Německo",1999
"Příbram","Česká republika","Hoorn","Nizozemsko",1992
"Příbram","Česká republika","Kežmarok","Slovensko",1997
"Příbram","Česká republika","Lešnica","Polsko",2009
"Příbram","Česká republika","Valle di Ledro","Itálie",2008
"Březnice","Česká republika","Lindow - Mark","Německo",2009
"Milín","Česká republika","Valle di Ledro","Itálie",2008
"Kamýk nad Vltavou","Česká republika","Golancz","Polsko",2008
"Sedlčany","Česká republika","Taverny","Francie",1993
"Sedlec-Prčice","Česká republika","Sutton Bridge","Velká Británie",2001
"Rakovník","Česká republika","Dietzenbach","Německo",1986
"Rakovník","Česká republika","Istra","Rusko",1996
"Rakovník","Česká republika","Koscian","Polsko",2005
"Rakovník","Česká republika","Královský Chlmec","Slovensko",0
"Týn nad Vltavou","Česká republika","Gmina Bardo","Polsko",37546
"České Budějovice","Česká republika","Linec","Rakousko",1994
"České Budějovice","Česká republika","Lorient","Francie",1997
"České Budějovice","Česká republika","Nitra","Slovensko",1994
"České Budějovice","Česká republika","Pasov","Německo",1993
"České Budějovice","Česká republika","Suhl","Německo",1979
"Borovany","Česká republika","Jolanda di Savoia","Itálie",2001
"Borovany","Česká republika","Muhleturnen","Švýcarsko",1995
"Kamenný Újezd","Česká republika","Krauchthal","Švýcarsko",1992
"Nové Hrady","Česká republika","Vaulx-Vraucourt","Francie",2008
"Nové Hrady","Česká republika","Weitra","Rakousko",1991
"Dražíč","Česká republika","Eichendorf - Reichstorf","Německo",1999
"Český Krumlov","Česká republika","Hauzenberg","Německo",1991
"Český Krumlov","Česká republika","Kaluš","Ukrajina",1993
"Český Krumlov","Česká republika","Miami Beach","Spojené státy americké",2001
"Český Krumlov","Česká republika","San Gimignano","Itálie",2008
"Český Krumlov","Česká republika","Slovenj Gradec","Slovinsko",1997
"Český Krumlov","Česká republika","Vöcklabruck","Rakousko",1997
"Vyšší Brod","Česká republika","Bad Leonfelden","Rakousko",2005
"Vyšší Brod","Česká republika","Freistadt","Rakousko",2005
"Nová Ves","Česká republika","Wileroltigen","Švýcarsko",1998
"Jindřichův Hradec","Česká republika","Neckargemünd","Německo",1996
"Jindřichův Hradec","Česká republika","Zwettl","Rakousko",2006
"Dačice","Česká republika","Gross-Siegharts","Rakousko",1990
"Chlum u Třeboně","Česká republika","Litschau","Rakousko",2006
"Nová Bystřice","Česká republika","Heidenreichstein","Rakousko",2002
"Novosedly nad Nežárkou","Česká republika","Leiben","Rakousko",2005
"Novosedly nad Nežárkou","Česká republika","Trub","Švýcarsko",1994
"Rapšach","Česká republika","Brand-Nagelberg","Rakousko",2007
"Slavonice","Česká republika","Dobersberg","Rakousko",1996
"Slavonice","Česká republika","Stakčín","Slovensko",2001
"Suchdol nad Lužnicí","Česká republika","Brand-Nagelberg","Rakousko",0
"Třeboň","Česká republika","Horsens","Dánsko",0
"Třeboň","Česká republika","Interlaken","Švýcarsko",1994
"Třeboň","Česká republika","Schrems","Rakousko",1991
"Třeboň","Česká republika","Utena","Litva",1994
"Kovářov","Česká republika","Leiben","Rakousko",2005
"Kovářov","Česká republika","Seftigen","Švýcarsko",1992
"Milevsko","Česká republika","Guichen","Francie",1994
"Milevsko","Česká republika","Münchenbuchsee","Švýcarsko",1991
"Milevsko","Česká republika","Unterweissenbach","Rakousko",2006
"Mirotice","Česká republika","Frauenkappelen","Švýcarsko",1992
"Písek","Česká republika","Caerphilly","Velká Británie",1994
"Písek","Česká republika","Deggendorf","Německo",2008
"Písek","Česká republika","Lemvig","Dánsko",2005
"Písek","Česká republika","Wetzlar","Německo",2006
"Prachatice","Česká republika","Castrocaro terme e Terra del Sole","Itálie",2004
"Prachatice","Česká republika","Grainet","Německo",1996
"Prachatice","Česká republika","Ignalina","Litva",1998
"Prachatice","Česká republika","Impruneta","Itálie",1988
